area,year,total_outages
AD2,2023,1
AD2,2024,2
AD2,2025,1
AD3,2025,2
AL1,2021,1
AL2,2013,1
AL2,2021,1
AL2,2022,1
AL3,2021,1
AL7,2017,1
AN2,2016,2
AN5,2014,1
AT1,2025,1
AT2,2025,1
AT4,2025,1
BP2,2019,2
CG8,2024,2
CO2,2023,1
DK1,2013,11
DK1,2014,30
DK1,2015,23
DK1,2016,11
DK1,2017,26
DK1,2018,33
DK1,2019,44
DK1,2020,25
DK1,2021,45
DK1,2022,24
DK1,2023,19
DK1,2024,29
DK1,2025,29
DK2,2013,8
DK2,2014,4
DK2,2015,11
DK2,2016,9
DK2,2017,6
DK2,2018,15
DK2,2019,26
DK2,2020,18
DK2,2021,15
DK2,2022,19
DK2,2023,13
DK2,2024,16
DK2,2025,17
DS3,2025,1
EK3,2013,1
EK5,2013,2
EK5,2014,1
EL1,2023,1
FG2,2025,1
FO3,2016,1
FT1,2019,2
GI4,2022,1
GI4,2025,1
GP3,2023,3
GP4,2023,3
GR2,2016,1
GT1,2013,1
GT1,2018,1
GT1,2021,1
GT1,2023,1
GT2,2018,1
GT2,2023,1
GT2,2024,1
GT3,2016,1
GT3,2025,1
GT6,2023,2
GT7,2023,3
GT7,2024,1
GT8,2021,1
GT8,2025,1
HP1,2019,2
HP2,2019,2
HP6,2023,1
HR2,2015,1
IH1,2023,1
IH1,2025,1
IK2,2020,3
IN1,2013,2
IN2,2013,2
IN3,2013,2
IR2,2025,1
IS2,2025,3
IS3,2025,3
KS1,2013,1
KS1,2014,2
KS1,2015,2
KS1,2019,3
KS1,2020,1
KS1,2023,1
KS2,2014,2
KS2,2015,1
KS2,2019,5
KS2,2020,1
KT4,2014,1
KT4,2017,2
KT5,2015,1
KT5,2017,2
KT5,2025,1
LO1,2016,1
MI1,2022,1
MI2,2025,1
MP1,2021,1
MP1,2025,3
MP2,2023,1
MP2,2024,1
MP2,2025,3
MP3,2023,1
MP3,2024,4
MP3,2025,10
MP5,2023,1
NA1,2015,1
NO1,2013,18
NO1,2014,23
NO1,2015,17
NO1,2016,15
NO1,2017,20
NO1,2018,19
NO1,2019,22
NO1,2020,15
NO1,2021,12
NO1,2022,24
NO1,2023,13
NO1,2024,27
NO1,2025,16
NO2,2013,8
NO2,2014,23
NO2,2015,30
NO2,2016,19
NO2,2017,34
NO2,2018,40
NO2,2019,42
NO2,2020,34
NO2,2021,64
NO2,2022,24
NO2,2023,16
NO2,2024,15
NO2,2025,33
NO3,2013,2
NO3,2014,5
NO3,2015,6
NO3,2016,14
NO3,2017,9
NO3,2018,13
NO3,2019,9
NO3,2020,5
NO3,2021,5
NO3,2022,6
NO3,2023,9
NO3,2024,8
NO3,2025,11
NO4,2013,2
NO4,2014,2
NO4,2015,3
NO4,2016,11
NO4,2017,8
NO4,2018,10
NO4,2019,11
NO4,2020,1
NO4,2021,7
NO4,2022,5
NO4,2023,2
NO4,2024,8
NO4,2025,3
NO5,2013,4
NO5,2014,11
NO5,2015,6
NO5,2016,10
NO5,2017,7
NO5,2018,10
NO5,2019,10
NO5,2020,2
NO5,2021,6
NO5,2022,5
NO5,2023,5
NO5,2024,8
NO5,2025,21
OL2,2024,1
OL2,2025,2
OL3,2022,1
OL3,2023,19
OL3,2024,7
OL3,2025,61
PB5,2021,1
PB6,2020,2
PB7,2024,1
PB7,2025,1
PB8,2024,1
PB8,2025,3
PH1,2016,2
PH1,2018,1
PH1,2022,2
PH1,2023,2
PH1,2024,2
PH3,2016,1
PH3,2022,1
PH6,2018,1
PH6,2021,1
PH7,2023,1
PH7,2024,2
PH8,2020,1
PH8,2022,1
PH8,2023,1
PH9,2023,1
PM2,2015,1
PM2,2019,1
PM5,2015,2
PT1,2024,1
PT4,2015,1
PT4,2021,1
PT4,2022,1
RP1,2025,6
RP2,2025,6
SE1,2013,4
SE1,2014,1
SE1,2015,1
SE1,2016,6
SE1,2017,6
SE1,2018,4
SE1,2019,12
SE1,2020,2
SE1,2021,10
SE1,2022,7
SE1,2023,6
SE1,2024,13
SE1,2025,22
SE2,2013,5
SE2,2014,3
SE2,2015,5
SE2,2016,7
SE2,2017,11
SE2,2018,12
SE2,2019,11
SE2,2020,10
SE2,2021,11
SE2,2022,33
SE2,2023,31
SE2,2024,31
SE2,2025,21
SE3,2013,23
SE3,2014,38
SE3,2015,27
SE3,2016,16
SE3,2017,27
SE3,2018,33
SE3,2019,34
SE3,2020,32
SE3,2021,47
SE3,2022,56
SE3,2023,48
SE3,2024,53
SE3,2025,36
SE4,2013,18
SE4,2014,9
SE4,2015,3
SE4,2016,13
SE4,2017,18
SE4,2018,29
SE4,2019,314
SE4,2020,557
SE4,2021,34
SE4,2022,48
SE4,2023,51
SE4,2024,48
SE4,2025,46
SF6,2013,2
SF6,2014,1
SF6,2015,6
SF6,2016,1
SF6,2018,2
SF6,2020,2
SH1,2013,1
SK1,2013,7
SK1,2014,34
SK1,2015,1
SK1,2018,1
SK1,2019,7
SK1,2020,2
SK2,2013,7
SK2,2014,34
SK2,2018,2
SK2,2020,3
SK3,2013,7
SK3,2014,35
SK4,2014,22
SK4,2015,5
SK4,2016,5
SK4,2018,1
SK4,2019,5
SK4,2020,1
SK4,2022,3
SK4,2023,2
SQ1,2025,1
TA1,2022,1
TA1,2023,1
TA2,2022,1
TA3,2022,1
TE5,2014,1
TH1,2021,1
TH1,2023,5
TH1,2024,2
TH1,2025,1
TH2,2023,1
TH2,2024,2
TH2,2025,1
TH3,2024,2
TH4,2021,1
TH4,2024,1
TN1,2016,5
TN2,2015,1
TN2,2016,2
TN2,2017,2
TN3,2015,1
TN3,2016,2
TN3,2017,1
TN4,2015,1
TN4,2017,1
TN5,2015,2
TN5,2016,5
TN6,2016,1
TR3,2020,1
